code,name
1,Banco do Brasil S.A.
3,Banco da Amazônia S.A.
4,Banco do Nordeste do Brasil S.A.
7,Banco Nacional de Desenvolvimento Econômico e Social
17,BNY Mellon Banco S.A.
18,Banco Tricury S.A.
21,BANESTES S.A. Banco do Estado do Espírito Santo
25,Banco Alfa S.A.
33,Banco Santander (Brasil) S.A.
36,Banco Bradesco BBI S.A.
37,Banco do Estado do Pará S.A.
40,Banco Cargill S.A.
41,Banco do Estado do Rio Grande do Sul S.A.
44,Banco BVA S.A.
47,Banco do Estado de Sergipe S.A.
63,Banco Bradescard S.A.
64,Goldman Sachs do Brasil Banco Múltiplo S.A.
65,Banco Andbank (Brasil) S.A.
69,Banco BPN Brasil S.A.
70,BRB - Banco de Brasília S.A.
74,Banco J. Safra S.A.
75,Banco ABN AMRO S.A.
76,Banco KDB S.A.
77,Banco Inter S.A.
78,Haitong Banco de Investimento do Brasil S.A.
79,Banco Original do Agronegócio S.A.
81,BBN Banco Brasileiro de Negócios S.A.
82,Banco Topázio S.A.
83,Banco da China Brasil S.A.
84,Uniprime Norte do Paraná - Coop de Economia e Crédito Mútuo dos Médicos, Profissionais das Ciências
85,Cooperativa Central de Crédito Urbano-CECRED
94,Banco Finaxis S.A.
95,Banco Confidence de Câmbio S.A.
96,Banco BM&FBOVESPA de Serviços de Liquidação e Custódia S.A
97,Cooperativa Central de Crédito Noroeste Brasileiro Ltda.
102,XP Investimentos
104,Caixa Econômica Federal
107,Banco BBM S.A.
119,Banco Western Union do Brasil S.A.
120,Banco Rodobens S.A.
121,Banco Agiplan S.A.
122,Banco Bradesco BERJ S.A.
124,Banco Woori Bank do Brasil S.A.
125,Brasil Plural S.A. - Banco Múltiplo
136,CONFEDERACAO NACIONAL DAS COOPERATIVAS CENTRAIS UNICREDS
208,Banco BTG Pactual S.A.
213,Banco Arbi S.A.
218,Banco Bonsucesso S.A.
237,Banco Bradesco S.A.
250,BCV - Banco de Crédito e Varejo S.A.
266,Banco Cédula S.A.
300,Banco de La Nacion Argentina
318,Banco BMG S.A.
320,China Construction Bank (Brasil) Banco Múltiplo S.A.
336,Banco C6 S.A.
341,Itaú Unibanco S.A.
366,Banco Société Générale Brasil S.A.
376,Banco J. P. Morgan S.A.
389,Banco Mercantil do Brasil S.A.
394,Banco Bradesco Financiamentos S.A.
422,Banco Safra S.A.
453,Banco Rural S.A.
456,Banco de Tokyo-Mitsubishi UFJ Brasil S.A.
464,Banco Sumitomo Mitsui Brasileiro S.A.
477,Citibank N.A.
505,Banco Credit Suisse (Brasil) S.A.
600,Banco Luso Brasileiro S.A.
604,Banco Industrial do Brasil S.A.
610,Banco VR S.A.
611,Banco Paulista S.A.
612,Banco Guanabara S.A.
613,Banco Pecúnia S.A.
630,Banco Intercap S.A.
633,Banco Rendimento S.A.
634,Banco Triângulo S.A.
637,Banco Sofisa S.A.
653,Banco Indusval S.A.
654,Banco A.J.Renner S.A.
707,Banco Daycoval S.A.
735,Banco Neon S.A.
739,Banco Cetelem S.A.
741,Banco Ribeirão Preto S.A.
743,Banco Semear S.A.        
744,BankBoston N.A.   
745,Banco Citibank S.A.
746,Banco Modal S.A.
747,Banco Rabobank International Brasil S.A.
748,Banco Cooperativo Sicredi S.A.
751,Scotiabank Brasil S.A. Banco Múltiplo
752,Banco BNP Paribas Brasil S.A.
755,Bank of America Merrill Lynch Banco Múltiplo S.A.
756,Banco Cooperativo do Brasil S.A. - BANCOOB
757,Banco KEB HANA do Brasil S.A.
260,Nubank
290,PAGSEGURO INTERNET S.A
623,Banco Pan
197,Stone Pagamentos S/A
93,Banco Polocred
403,Cora Sociedade de Crédito S.A.
